Author Age,Author Comment Karma,Author Link Karma,Avg Comment Brand Count,Avg Comment Sentiment,Title Brands,Title Seniment,Label
594.4115862948116,538,7414,73.28571428571429,19.714285714285715,1,0,1
1332.995641645745,3807,3118,0.3181818181818182,11.318181818181818,1,0,0
1279.2219079804918,18121,14955,2146.6190476190477,-8.904761904761905,0,0,1
2351.5961998967523,10414,9602,60.666666666666664,-251.85714285714286,1,0,1
2033.2404990321702,747,14124,723.7142857142857,411.6666666666667,0,1,1
2230.510595739401,5385,6425,0.0,68.04761904761905,1,0,1
2255.9996486650657,9641,8630,0.0,0.8333333333333334,0,0,0
2773.269166098182,19413,4007,38.142857142857146,-105.04761904761905,0,0,1
4375.5978882876725,14159,795889,0.0,-118.33333333333333,0,0,1
298.18783970188485,3990,6585,23.03921568627451,-31.254901960784313,0,0,0
95.15693967690898,-100,905,99.47619047619048,-86.76190476190476,1,0,1
60.26828296777827,1827,73794,1.0392156862745099,5.313725490196078,0,0,0
652.0412876666696,5651,9398,988.047619047619,-1579.2857142857142,2,0,1
376.180172622248,-4,123,35.666666666666664,19.571428571428573,0,0,1
1910.370594924876,613799,5667104,0.27450980392156865,-2.196078431372549,0,0,0
193.7624108248342,2943,13967,219.33333333333334,612.6190476190476,1,0,1
2206.020118752522,46334,34798,9.07843137254902,-4.372549019607843,0,0,0
970.3524273337755,30088,136317,234.1904761904762,-4.333333333333333,1,0,1
134.2510140841896,8,6428,0.0784313725490196,-64.62745098039215,1,0,0
1808.5307380789243,49942,1,122.47619047619048,80.95238095238095,0,0,1
1976.074466922079,12371,7831,1933.5238095238096,-1158.1904761904761,0,-1,1
1670.909937003415,189,6633,1.7647058823529411,0.3333333333333333,0,0,0
1850.517917781958,5583,28615,1937.2857142857142,-198.52380952380952,1,0,1
2144.060245287606,1034,6551,48.0,-8.476190476190476,1,0,1
2530.8641974385055,1320,10428,14.142857142857142,88.33333333333333,1,0,1
1775.100260911537,24741,29747,0.09803921568627451,5.588235294117647,0,0,0
2154.7279252657627,22052,702510,222.28571428571428,26.952380952380953,0,0,1
1017.6153592967463,11,4,0.5,0.0,0,0,1
2953.5232556495043,11579,12814,4657.952380952381,-234.23809523809524,0,0,1
791.6661549723617,99943,36686,5.904761904761905,-544.9047619047619,1,0,1
2154.7383570329816,22052,702510,122.85714285714286,211.42857142857142,0,0,1
1044.4377978699433,835,5001,95.52380952380952,161.61904761904762,0,0,1
508.1905870011918,169,974,0.0,1.12,0,0,0
564.3039557517403,1589,442610,340.4761904761905,-469.7142857142857,1,0,1
2268.0716386964805,44109,21113,-1.3333333333333333,1.3333333333333333,0,0,0
1910.3704527493428,613799,5667098,285.3921568627451,-82.43137254901961,1,0,0
1786.2257383568724,4236,1,39.76190476190476,-4.857142857142857,1,0,1
1796.2680014330895,6077,48500,2.5714285714285716,-75.23809523809524,0,0,1
683.1995175924704,1446,51750,1604.095238095238,402.0,0,0,1
1573.506950884122,4718,6227,1091.4761904761904,911.8095238095239,1,0,1
1593.3587257948932,4890,7319,28.047619047619047,11.904761904761905,0,0,1
123.04837791773733,123,7181,555.5238095238095,-102.04761904761905,1,0,1
574.354511431301,22,7075,0.13043478260869565,-3.260869565217391,0,0,0
589.6658295002111,0,486,0.0,0.4,0,0,0
2098.5672187539685,112,6302,119.28571428571429,27.523809523809526,0,1,1
743.1258475293909,5867,14042,269.76190476190476,-76.85714285714286,1,0,1
1911.5907192932152,678,4725,28.0,-0.3333333333333333,3,0,1
2031.3728138161616,1544,19473,70.70588235294117,41.86274509803921,0,0,0
96.24996065026632,421,65639,0.8461538461538461,0.46153846153846156,0,0,0
330.73904498192724,2154,96232,487.76190476190476,429.3809523809524,1,0,1
2181.1568940503316,30364,12853,101.57142857142857,24.761904761904763,1,0,1
955.3382407637879,1537,14762,21.0,10.142857142857142,1,0,1
1043.4337056371514,2161,6882,543.3809523809524,331.2857142857143,1,0,1
626.8898158688761,12626,8091,304.95238095238096,424.1904761904762,0,0,1
255.15165644352635,1373,42821,111.6086956521739,-44.108695652173914,0,0,0
107.18730119008985,2268,307579,0.02631578947368421,0.34210526315789475,0,0,0
154.47437468241762,303,3258,1.3846153846153846,-3.8461538461538463,0,0,0
2244.4795387936438,173,20132,112.76190476190476,-291.0,0,0,1
219.31410104429557,2213,27579,0.0,-8.254901960784315,0,0,0
40.83826176625711,0,3361,0.2,19.333333333333332,1,0,0
199.5754696593406,155,1545,1.3461538461538463,0.23076923076923078,0,0,0
979.7374816707494,82,7634,899.3809523809524,1124.857142857143,0,0,1
1473.5074080048473,4554,5936,71.23809523809524,-44.57142857142857,1,-1,1
2586.487820510395,551722,444551,0.9607843137254902,6.627450980392157,0,0,0
2386.638340079326,107474,85200,373.14285714285717,22.952380952380953,0,1,1
877.5725110494345,6140,10957,23.285714285714285,-31.428571428571427,0,0,1
1459.6147487108299,177705,149941,560.2380952380952,-99.95238095238095,2,-1,1
1531.0552780949104,9232,21283,93.0,38.61904761904762,0,0,1
844.563807883373,1453,5421,6.095238095238095,98.85714285714286,0,0,1
1100.146638402594,10,5762,200.1904761904762,80.57142857142857,0,1,1
456.00131402802685,1361,3678,15.523809523809524,-8.142857142857142,1,0,1
